[[1;34mINFO[m] Scanning for projects...
[[1;34mINFO[m] 
[[1;34mINFO[m] [1m----------------------< [0;36msarpreetsingh:activforms[0;1m >----------------------[m
[[1;34mINFO[m] [1mBuilding activforms 0.0.1-SNAPSHOT[m
[[1;34mINFO[m] [1m--------------------------------[ jar ]---------------------------------[m
[[1;34mINFO[m] 
[[1;34mINFO[m] [1m>>> [0;32mexec-maven-plugin:1.2.1:java[m [1m(default-cli)[0;1m > [0;1mvalidate[m @ [36mactivforms[0;1m >>>[m
[[1;34mINFO[m] 
[[1;34mINFO[m] [1m<<< [0;32mexec-maven-plugin:1.2.1:java[m [1m(default-cli)[0;1m < [0;1mvalidate[m @ [36mactivforms[0;1m <<<[m
[[1;34mINFO[m] 
[[1;34mINFO[m] 
[[1;34mINFO[m] [1m--- [0;32mexec-maven-plugin:1.2.1:java[m [1m(default-cli)[m @ [36mactivforms[0;1m ---[m
Feedback loop started.
1;1603268322179;9.236740000000001;0.33375900000000003;66.2773;1603268961451
2;1603268961451;8.23595;0.0;66.086;1603269611630
3;1603269611630;9.765155;0.0689655;66.6615;1603270312334
4;1603270312334;9.895380000000001;0.402671;66.532;1603271012727
5;1603271012727;8.034685;1.11652;66.4843;1603271707967
6;1603271707967;8.08775;0.395679;66.2584;1603272404230
7;1603272404230;9.167965;0.37511900000000004;66.4655;1603273056158
8;1603273056159;9.919435;0.144928;66.6136;1603273717142
9;1603273717142;9.959404999999999;0.834114;66.4459;1603274374399
10;1603274374400;9.875175;0.253831;66.5159;1603275037228
11;1603275037229;9.959404999999999;0.133333;66.4847;1603275770785
12;1603275770786;9.027655;2.23718;66.8778;1603276521205
13;1603276521205;9.027655;0.25679;66.724;1603277259297
14;1603277259297;9.744465;3.22612;66.7266;1603277993824
15;1603277993824;9.983244999999998;0.123457;66.539;1603278745032
16;1603278745033;9.959404999999999;0.252381;66.6158;1603279452625
17;1603279452626;9.481725;0.251662;66.5353;1603280145092
18;1603280145092;7.485425000000001;2.78845;66.163;1603280807408
19;1603280807408;8.842645;4.18147;66.522;1603281461089
20;1603281461089;9.12162;0.36185599999999996;66.3777;1603282125747
21;1603282125748;8.13641;2.51166;66.373;1603282779285
22;1603282779285;9.25951;0.442323;66.1322;1603283438253
23;1603283438254;8.86712;0.8536659999999999;66.0902;1603284104625
24;1603284104626;8.212225;1.0053299999999998;66.3677;1603284769310
25;1603284769310;9.00392;1.39221;66.2921;1603285413919
26;1603285413919;8.747544999999999;0.35555600000000004;66.332;1603286072454
27;1603286072454;9.57202;0.24314800000000003;66.329;1603286720157
28;1603286720157;8.08775;4.73489;66.2232;1603287361195
29;1603287361196;6.387334999999999;0.6473409999999999;65.8803;1603287980632
30;1603287980633;9.349525;0.607968;66.3966;1603288623041
31;1603288623041;6.869435;1.6263400000000001;66.2847;1603289289859
32;1603289289860;7.321725000000001;0.0;66.3799;1603289964362
33;1603289964362;8.034685;1.26587;66.5387;1603290689101
34;1603290689101;9.098275000000001;1.69091;66.5716;1603291458897
35;1603291458897;9.656979999999999;4.03481;66.3693;1603292225540
36;1603292225541;9.371765;0.04;66.3825;1603292956806
37;1603292956807;9.236740000000001;1.05939;66.4866;1603293652858
38;1603293652858;7.828200000000001;1.053;66.2455;1603294350991
39;1603294350991;9.875175;0.741799;66.4655;1603295037988
40;1603295037989;9.546645000000002;0.729823;66.3159;1603295712565
41;1603295712566;9.12162;0.9858910000000001;66.4369;1603296391508
42;1603296391509;8.063205000000002;3.89428;66.497;1603297082877
43;1603297082878;7.564925000000001;1.42953;66.2617;1603297755492
44;1603297755492;9.875175;0.432234;66.2885;1603298426535
45;1603298426535;7.95979;1.04415;66.3952;1603299124438
46;1603299124438;7.8578850000000005;1.4637799999999999;66.0307;1603299801670
47;1603299801670;9.830615;0.123457;66.1925;1603300486957
48;1603300486958;9.098275000000001;1.49364;66.1772;1603301191782
49;1603301191783;7.592365000000001;0.390123;66.0761;1603301870094
50;1603301870095;7.2925450000000005;0.119048;66.2445;1603302522415
51;1603302522415;9.327135;0.275508;66.1904;1603303213233
52;1603303213234;9.503454999999999;0.7278169999999999;66.372;1603303907337
53;1603303907338;8.629055;0.144928;66.0983;1603304656366
54;1603304656366;9.723685;0.144928;66.2756;1603305433343
55;1603305433344;9.702865;1.4054900000000001;66.5957;1603306200730
56;1603306200730;9.67798;1.32738;66.1645;1603306912154
57;1603306912154;9.481725;3.7487199999999996;66.4408;1603307617205
58;1603307617206;9.78968;0.133333;66.2024;1603308309543
59;1603308309544;8.60346;2.4364;66.4298;1603308997920
60;1603308997921;9.723685;4.12735;66.0977;1603309690074
61;1603309690074;9.614654999999999;0.543611;66.3211;1603310383190
62;1603310383191;9.074835;0.8340749999999999;66.2383;1603311076405
63;1603311076406;9.349525;3.21919;66.1955;1603311775978
64;1603311775979;8.31017;1.22636;66.3323;1603312474698
65;1603312474699;9.656979999999999;3.1447599999999998;66.2801;1603313171158
66;1603313171159;9.895380000000001;0.86518;66.3017;1603313877201
67;1603313877202;9.67798;1.27638;66.1142;1603314588654
68;1603314588655;9.074835;2.41169;66.1004;1603315299551
69;1603315299552;9.723685;0.215812;66.7094;1603316067474
70;1603316067474;9.93946;3.7273599999999996;66.8139;1603316870567
71;1603316870567;9.459950000000001;0.133333;67.1888;1603317684768
72;1603317684768;9.614654999999999;0.0;66.4351;1603318464904
73;1603318464905;9.546645000000002;0.981511;66.8812;1603319267602
74;1603319267603;8.629055;0.0;66.7506;1603320046938
75;1603320046938;9.327135;2.50056;66.3535;1603320774688
76;1603320774689;7.321725000000001;0.0;66.2015;1603321467380
77;1603321467381;7.457315;0.261538;66.2544;1603322189215
78;1603322189216;7.155220000000001;0.07407409999999999;66.3445;1603322883808
79;1603322883809;9.656979999999999;0.03125;66.3262;1603323584591
80;1603323584592;9.327135;4.05524;66.4878;1603324284588
81;1603324284589;5.91077;0.144928;66.1653;1603324980435
82;1603324980436;9.41602;3.2090199999999998;66.3182;1603325678758
83;1603325678758;7.828200000000001;0.15622;65.8894;1603326356695
84;1603326356696;9.503454999999999;0.04;66.2665;1603327046112
85;1603327046113;9.393965;0.427606;66.2885;1603327747379
86;1603327747380;9.051295000000001;1.65456;66.4351;1603328495313
87;1603328495314;8.23595;0.7725799999999999;66.495;1603329206219
88;1603329206220;9.810195;0.0;66.5142;1603329985641
89;1603329985642;7.9345300000000005;0.133333;66.4996;1603330751523
90;1603330751523;8.887595000000001;0.286626;66.4111;1603331494527
91;1603331494527;9.144815000000001;0.144928;66.3324;1603332252038
92;1603332252039;9.282129999999999;2.16078;66.4635;1603332971463
93;1603332971463;7.95979;1.9422499999999998;66.3085;1603333685637
94;1603333685638;9.614654999999999;2.8346199999999997;66.3867;1603334386995
95;1603334386996;7.237425;0.49393400000000004;66.0454;1603335093479
96;1603335093480;9.78968;1.91871;65.9185;1603335789661
97;1603335789662;9.93946;0.528205;66.5316;1603336530973
98;1603336530973;9.167965;0.46615700000000004;66.2665;1603337224812
99;1603337224813;9.959404999999999;3.98897;66.5317;1603337980560
100;1603337980561;9.93946;0.40096000000000004;66.2444;1603338759536
101;1603338759536;8.555795;0.262346;66.4641;1603339534411
102;1603339534411;9.21393;1.43431;66.7089;1603340290816
103;1603340290817;9.830615;0.635507;66.596;1603341049563
104;1603341049563;7.646739999999999;0.640551;66.4158;1603341737805
105;1603341737806;7.95979;0.128205;66.1788;1603342423386
106;1603342423386;8.983995;0.0;66.2046;1603343114418
107;1603343114418;9.393965;1.16035;66.3496;1603343799718
108;1603343799719;9.67798;0.743351;66.2893;1603344482918
109;1603344482918;9.546645000000002;1.2506599999999999;66.253;1603345178706
110;1603345178706;7.2925450000000005;0.49918599999999996;66.2879;1603345876357
